pert_id	pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	n_opposing_genes	mean_protective_push_z	median_protective_push_z	summed_weighted_push	total_weight	min_n_signatures	total_gene_signatures	weighted_mean_protective_push_z	fraction_genes_protective
BRD-K74402642	NSC-632839	13	6	4	7	0.023857698990748497	-0.2630499899387359	-39.14664210085244	122.69809676726929	1	13	-0.3190484867512234	0.46153846153846156
BRD-K17140735	SCH-79797	13	5	4	8	-0.3631153910492475	-1.0499999523162842	-49.17292467999768	122.69809676726929	1	13	-0.4007635487066084	0.38461538461538464
BRD-K74148702	curcumin	13	4	4	9	-0.3346050215455202	-0.5236063003540039	-50.40076988429131	122.69809676726929	1	13	-0.4107705923091068	0.3076923076923077
BRD-K01877528	TL-HRAS-61	13	5	4	8	-0.399734612267751	-0.7698500156402588	-68.13198215479062	122.69809676726929	1	13	-0.5552814913178455	0.38461538461538464
BRD-K25737009	CD-1530	13	6	4	7	-0.8011850806382986	-1.0426146984100342	-69.02685860341178	122.69809676726929	1	13	-0.5625748110367206	0.46153846153846156
BRD-K27316855	calcitriol	13	5	4	8	-1.054261592718271	-1.3458499908447266	-91.53568169206564	122.69809676726929	1	13	-0.7460236475035815	0.38461538461538464
BRD-A36318220	necrostatin-1	13	5	4	8	-0.7328191995620726	-0.8604499101638794	-126.18293362295479	122.69809676726929	1	13	-1.0284017189141528	0.38461538461538464
BRD-K15318909	PRIMA1	13	4	4	9	-1.4551999798187842	-1.8705499172210691	-132.73552649205183	122.69809676726929	1	13	-1.081805912147287	0.3076923076923077
BRD-K06792661	narciclasine	13	4	4	9	-2.474384654599887	-3.543600082397461	-167.3306304068865	122.69809676726929	1	13	-1.3637589727595785	0.3076923076923077
BRD-K79983625	DC-45-A2	13	5	4	8	-1.314669588437447	-0.4434172511100769	-195.22008140437342	122.69809676726929	1	13	-1.5910603876330864	0.38461538461538464
BRD-K71799778	BML-259	13	8	3	5	0.5164653979814969	0.6613500118255615	56.24499303994463	122.69809676726929	1	13	0.4584015116927913	0.6153846153846154
BRD-A76279427	myriocin	13	8	3	5	0.19991830392525747	0.2639336585998535	31.79495058346393	122.69809676726929	1	13	0.25913157107702983	0.6153846153846154
BRD-K60219430	serdemetan	13	9	3	4	0.33945184946060175	0.4266014993190765	29.959215270328613	122.69809676726929	1	13	0.24417017101051297	0.6923076923076923
BRD-K53903639	CHEMBL-1222381	13	8	3	5	0.29230183592209447	0.3914947807788849	28.057860623258637	122.69809676726929	1	13	0.22867396775092683	0.6153846153846154
BRD-K01868942	RS-23597-190	13	7	3	6	0.13645286456896707	0.4767168462276459	26.18588912808239	122.69809676726929	1	13	0.2134172396964815	0.5384615384615384
BRD-K55395145	pemetrexed	13	8	3	5	0.253069227704635	0.0848499983549118	25.721337679991855	122.69809676726929	1	13	0.20963110559717524	0.6153846153846154
BRD-K69932463	AZD-8055	13	7	3	6	0.1532423201088722	0.0071500018239021	24.9669201400487	122.69809676726929	1	13	0.20348253801691263	0.5384615384615384
BRD-K71726959	BRD-K71726959	13	8	3	5	0.3076014934250942	0.4300583004951477	23.85504802763119	122.69809676726929	1	13	0.19442068504843116	0.6153846153846154
BRD-K76205745	losartan	13	7	3	6	0.04802812463962113	0.0161356516182422	21.381138357573185	122.69809676726929	1	13	0.17425810930163324	0.5384615384615384
BRD-K14329163	BAY-K-8644-(S)-(-)	13	6	3	7	0.126761529308099	-0.1427000015974044	19.74342835805604	122.69809676726929	1	13	0.1609106325056116	0.46153846153846156
BRD-K99818283	PIK-90	13	6	3	7	0.05060617797649825	-0.027298480272293	18.737651488884254	122.69809676726929	1	13	0.15271346485859	0.46153846153846156
BRD-A56359832	zileuton	13	8	3	5	0.17100769052138695	0.2311999946832656	18.446167331575733	122.69809676726929	1	13	0.150337844005551	0.6153846153846154
