pert_id	pert_iname	n_genes	n_positive_mr_effect	n_strong_precision_match	mean_mr_lincs_effect	median_mr_lincs_effect	sum_mr_lincs_effect	mean_precision_match	median_precision_match	sum_precision_match	mean_lincs_z	mean_mr_ivw_beta	median_mr_ivw_beta	fraction_positive_mr_effect	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K24132293	piperlongumine	13	5	5	-0.24699462612370837	-0.2515299750436772	-3.210930139608209	-1.7957042988282053	-2.117237176207289	-23.344155884766668	-0.07372547800724323	0.46811178153786825	0.8048867209111468	0.38461538461538464	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K83289131	CAY-10618	13	5	4	-0.3801729396013366	-0.2928561526418189	-4.942248214817376	-1.830472828239444	-2.278702004519732	-23.796146767112774	-0.035627092306430526	0.46811178153786825	0.8048867209111468	0.38461538461538464	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A13084692	troglitazone	13	7	2	-0.17828861267072832	0.005937264094994412	-2.317751964719468	-1.8426585869348577	0.05100174112045943	-23.95456163015315	0.06003395410684439	0.46811178153786825	0.8048867209111468	0.5384615384615384	Withdrawn	insulin sensitizer|PPAR receptor agonist	CYP2C8|PPARG|TRPM3	not annotated		Broad Repurposing Hub	
BRD-K61323504	SB-225002	13	4	3	-0.25615919110370505	-0.1908146978674478	-3.330069484348166	-1.858582541403847	-1.5617810027136056	-24.161573038250012	-0.06980038147706252	0.46811178153786825	0.8048867209111468	0.3076923076923077	Preclinical	CC chemokine receptor antagonist	CXCR2	not annotated		Broad Repurposing Hub	
BRD-K78659596	ixazomib	13	5	4	-0.22905484720295932	-0.3547637453116036	-2.9777130136384713	-1.8614662528628254	-1.148683324786477	-24.19906128721673	0.21273867327433366	0.46811178153786825	0.8048867209111468	0.38461538461538464	Launched	proteasome inhibitor	not annotated	hematologic malignancy	multiple myeloma	Broad Repurposing Hub	
BRD-K28296557	AKT-inhibitor-IV	13	6	5	-0.10756900459957687	-0.07244397112883029	-1.3983970597944992	-1.9488773999612155	-0.7060231383485407	-25.3354061994958	0.24380000623372883	0.46811178153786825	0.8048867209111468	0.46153846153846156	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K12994359	valdecoxib	13	4	3	-0.24963864197194247	-0.31903684725025805	-3.245302345635252	-1.9832220680602743	-1.0330038265520454	-25.781886884783567	-0.0819769283899894	0.46811178153786825	0.8048867209111468	0.3076923076923077	Withdrawn	cyclooxygenase inhibitor	CA12|PTGS2	not annotated		Broad Repurposing Hub	
BRD-K62965247	tipifarnib-P2	13	6	2	-0.324362289169804	-0.04116094256482426	-4.216709759207451	-2.065617334600373	-0.34646955215117453	-26.853025349804845	0.48355895624710965	0.46811178153786825	0.8048867209111468	0.46153846153846156	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A47829399	artesunate	13	7	2	-0.3043835221801082	0.16990105019562288	-3.956985788341407	-2.0965500112024604	1.6011081929894122	-27.255150145631987	0.23204974486277655	0.46811178153786825	0.8048867209111468	0.5384615384615384	Launched	DNA synthesis inhibitor	not annotated	infectious disease	malaria	Broad Repurposing Hub	
BRD-K91623615	ABT-751	13	3	3	-0.37197449480696076	-0.18471163155346665	-4.83566843249049	-2.114716276273993	-1.1071335776593993	-27.49131159156191	0.24068624010452858	0.46811178153786825	0.8048867209111468	0.23076923076923078	Phase 2	tubulin polymerization inhibitor	TUBB	not annotated		Broad Repurposing Hub	
BRD-K81418486	vorinostat	13	5	4	-0.3842304652591971	-0.48241966450834656	-4.994996048369562	-2.155766646994842	-1.5620181923693859	-28.024966410932944	0.06311419165621589	0.46811178153786825	0.8048867209111468	0.38461538461538464	Launched	HDAC inhibitor	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9	hematologic malignancy	cutaneous T-cell lymphoma (CTCL)	Broad Repurposing Hub	
BRD-K69840642	ISOX	13	4	3	-0.32046840732959014	-0.2027950572604265	-4.166089295284672	-2.15978183638503	-0.7969920631544032	-28.07716387300539	0.03723518120554777	0.46811178153786825	0.8048867209111468	0.3076923076923077	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K03816923	rottlerin	13	3	2	-0.44694375249052887	-0.3121212505577205	-5.810268782376875	-2.275396346543437	-2.1296120706608144	-29.580152505064678	0.41214844355216396	0.46811178153786825	0.8048867209111468	0.23076923076923078	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K08316444	rotenone	13	5	1	-0.3887551818900252	-0.21777092726448205	-5.053817364570328	-2.330311308140526	-1.1180845663345886	-30.29404700582684	0.2778219606440801	0.46811178153786825	0.8048867209111468	0.38461538461538464	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K56301217	ABT-737	13	4	3	-0.4406340846844588	-0.4106546243583296	-5.728243100897965	-2.34865383311124	-2.2076431153638754	-30.53249983044612	0.3919269396708562	0.46811178153786825	0.8048867209111468	0.3076923076923077	Phase 1/Phase 2	BCL inhibitor	BCL2|BCL2L1|BCL2L2	not annotated		Broad Repurposing Hub	
BRD-K78599730	manumycin-a	13	6	4	-0.2383287736154552	-0.917098687501465	-3.0982740570009177	-2.3493503656623465	-3.786982594713547	-30.5415547536105	-0.14735767245292658	0.46811178153786825	0.8048867209111468	0.46153846153846156	Preclinical/tool	farnesyltransferase/Ras pathway inhibitor	FNTA|FNTB; Ras pathway	oncology/tool compound		manual: chemical biology annotation	Several strong pushes but overall weighted opposition; useful as a Ras/isoprenylation comparator.
BRD-K92241597	tosedostat	13	5	2	-0.4331876173547047	-0.45749820715520934	-5.631439025611161	-2.374346240751633	-3.7126048143798966	-30.86650112977123	0.27238395695502937	0.46811178153786825	0.8048867209111468	0.38461538461538464	Phase 2	peptidase inhibitor	ANPEP|LAP3|NPEPPS	not annotated		Broad Repurposing Hub	
