pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures
BRD-A94451536	2-fluoropalmitic-acid	ZYX	1.4209773540496826	1.4209773540496826	1
BRD-K08703257	3-amino-benzamide	BIN1	0.6079000234603882	0.6079000234603882	1
BRD-K08703257	3-amino-benzamide	CASP2	-0.3077999949455261	-0.3077999949455261	1
BRD-K08703257	3-amino-benzamide	CASS4	-0.10329997539520264	-0.10329997539520264	1
BRD-K08703257	3-amino-benzamide	CTSH	0.509850025177002	0.509850025177002	1
BRD-K08703257	3-amino-benzamide	EPHA1	-0.39594998955726624	-0.39594998955726624	1
BRD-K08703257	3-amino-benzamide	GSTK1	-0.7698999643325806	-0.7698999643325806	1
BRD-K08703257	3-amino-benzamide	PICALM	-0.24695000052452087	-0.24695000052452087	1
BRD-K08703257	3-amino-benzamide	PLEKHA1	-0.23624999821186066	-0.23624999821186066	1
BRD-K08703257	3-amino-benzamide	PSMC3	-1.0459500551223755	-1.0459500551223755	1
BRD-K08703257	3-amino-benzamide	RABEP1	0.42399999499320984	0.42399999499320984	1
BRD-K08703257	3-amino-benzamide	RHOH	0.618399977684021	0.618399977684021	1
BRD-K08703257	3-amino-benzamide	USP6NL	0.37794995307922363	0.37794995307922363	1
BRD-K08703257	3-amino-benzamide	ZYX	0.8263499736785889	0.8263499736785889	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	BIN1	-0.08398973941802979	-0.08398973941802979	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	CASP2	0.7678178548812866	0.7678178548812866	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	CASS4	-0.4089663624763489	-0.4089663624763489	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	CTSH	0.4448275566101074	0.4448275566101074	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	EPHA1	0.34034591913223267	0.34034591913223267	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	GSTK1	0.29756417870521545	0.29756417870521545	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	PICALM	0.8380539417266846	0.8380539417266846	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	PLEKHA1	0.04555980861186981	0.04555980861186981	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	PSMC3	0.7881531715393066	0.7881531715393066	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	RABEP1	0.2589283883571625	0.2589283883571625	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	RHOH	0.9046532511711121	0.9046532511711121	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	USP6NL	-0.9774091243743896	-0.9774091243743896	1
BRD-K25690923	4-iodo-6-phenylpyrimidine	ZYX	0.4025358557701111	0.4025358557701111	1
BRD-K04430056	7-nitroindazole	BIN1	0.21724732220172882	0.21724732220172882	1
BRD-K04430056	7-nitroindazole	CASP2	-0.17051449418067932	-0.17051449418067932	1
BRD-K04430056	7-nitroindazole	CASS4	0.09512214362621307	0.09512214362621307	1
BRD-K04430056	7-nitroindazole	CTSH	0.37942537665367126	0.37942537665367126	1
BRD-K04430056	7-nitroindazole	EPHA1	-0.4099523425102234	-0.4099523425102234	1
BRD-K04430056	7-nitroindazole	GSTK1	-0.012735173106193542	-0.012735173106193542	1
BRD-K04430056	7-nitroindazole	PICALM	-0.36229559779167175	-0.36229559779167175	1
BRD-K04430056	7-nitroindazole	PLEKHA1	-0.010568663477897644	-0.010568663477897644	1
BRD-K04430056	7-nitroindazole	PSMC3	-0.3916324973106384	-0.3916324973106384	1
BRD-K04430056	7-nitroindazole	RABEP1	-0.19291317462921143	-0.19291317462921143	1
BRD-K04430056	7-nitroindazole	RHOH	-0.5388209819793701	-0.5388209819793701	1
BRD-K04430056	7-nitroindazole	USP6NL	0.13665853440761566	0.13665853440761566	1
BRD-K04430056	7-nitroindazole	ZYX	-0.27221226692199707	-0.27221226692199707	1
BRD-K61829047	7b-cis	BIN1	0.05369157716631889	0.05369157716631889	1
BRD-K61829047	7b-cis	CASP2	2.8300914764404297	2.8300914764404297	1
BRD-K61829047	7b-cis	CASS4	-0.6376219987869263	-0.6376219987869263	1
BRD-K61829047	7b-cis	CTSH	-0.31866008043289185	-0.31866008043289185	1
BRD-K61829047	7b-cis	EPHA1	-0.37260082364082336	-0.37260082364082336	1
BRD-K61829047	7b-cis	GSTK1	1.1034057140350342	1.1034057140350342	1
BRD-K61829047	7b-cis	PICALM	1.3936500549316406	1.3936500549316406	1
BRD-K61829047	7b-cis	PLEKHA1	-0.09289411455392838	-0.09289411455392838	1
BRD-K61829047	7b-cis	PSMC3	0.3948889970779419	0.3948889970779419	1
BRD-K61829047	7b-cis	RABEP1	-0.829707145690918	-0.829707145690918	1
BRD-K61829047	7b-cis	RHOH	0.1356409788131714	0.1356409788131714	1
BRD-K61829047	7b-cis	USP6NL	1.8286030292510986	1.8286030292510986	1
BRD-K61829047	7b-cis	ZYX	0.04568112641572952	0.04568112641572952	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	BIN1	-0.6498357653617859	-0.6498357653617859	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	CASP2	0.43056637048721313	0.43056637048721313	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	CASS4	-0.48474910855293274	-0.48474910855293274	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	CTSH	0.17794132232666016	0.17794132232666016	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	EPHA1	-0.04907824099063873	-0.04907824099063873	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	GSTK1	0.7743263244628906	0.7743263244628906	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	PICALM	0.436850905418396	0.436850905418396	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	PLEKHA1	0.1446768343448639	0.1446768343448639	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	PSMC3	0.02735847234725952	0.02735847234725952	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	RABEP1	-0.038750290870666504	-0.038750290870666504	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	RHOH	0.00889982283115387	0.00889982283115387	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	USP6NL	-0.10169200599193573	-0.10169200599193573	1
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	ZYX	0.5894789099693298	0.5894789099693298	1
BRD-K56301217	ABT-737	BIN1	0.4310999810695648	0.4310999810695648	1
BRD-K56301217	ABT-737	CASP2	2.1254498958587646	2.1254498958587646	1
BRD-K56301217	ABT-737	CASS4	4.289100170135498	4.289100170135498	1
BRD-K56301217	ABT-737	CTSH	-0.393449991941452	-0.393449991941452	1
BRD-K56301217	ABT-737	EPHA1	2.0390000343322754	2.0390000343322754	1
