pert_id	pert_iname	n_genes	slope	slope_se	slope_z	p_protective	p_two_sided	sum_wx2	protective_slope	minus_log10_p_protective	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K66874953	pifithrin-alpha	13.0	-0.28659829906516754	0.05901966977522007	-4.855979373600263	5.989658586034839e-07	1.1979317172069678e-06	287.0823215309398	0.28659829906516754	6.222597931939051	Preclinical	TP53 inhibitor	TP53	not annotated		Broad Repurposing Hub	
BRD-A73680854	PT-630	13.0	-0.2886224200605486	0.05949613560703024	-4.851112044770251	6.138558103673574e-07	1.2277116207347148e-06	282.50262219271167	0.2886224200605486	6.211933629047394	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K16406336	methylene-blue	13.0	-0.335554520955099	0.06997812158827138	-4.795134726956422	8.128276802446075e-07	1.625655360489215e-06	204.20926340005684	0.335554520955099	6.0900015152314175	Launched	guanylyl cyclase inhibitor|nitric oxide production inhibitor	ACHE	hematology	methemoglobinemia	Broad Repurposing Hub	
BRD-K71726959	BRD-K71726959	13.0	-0.23614964781317477	0.05189272726811738	-4.550727245323717	2.6730406634689097e-06	5.346081326937819e-06	371.35306088760296	0.23614964781317477	5.572994434514754	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K69932463	AZD-8055	13.0	-0.23041927276968735	0.05097306229937482	-4.52041259393814	3.0859612014276745e-06	6.171922402855349e-06	384.87397845489426	0.23041927276968735	5.510609538451675	Phase 1	mTOR kinase inhibitor	MTOR	oncology/autophagy		manual: mTOR inhibitor literature/Repurposing Hub style annotation	Positive weighted match; plausible pathway relevance through autophagy and immune metabolism, though not among the very top by strong-push count.
BRD-K89692698	BRD-K89692698	13.0	-0.22316852593672598	0.05041555655105532	-4.426580627166646	4.786930361724522e-06	9.573860723449043e-06	393.43307596530434	0.22316852593672598	5.31994289040791	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K53903639	CHEMBL-1222381	13.0	-0.15943179102083999	0.03636568935263958	-4.384126737563625	5.822598293977492e-06	1.1645196587954983e-05	756.1646157195515	0.15943179102083999	5.234883171205183	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K16701932	Gly-Gly-PALO	13.0	-0.1943530013997734	0.0444771908456545	-4.369722945727856	6.22021358823298e-06	1.244042717646596e-05	505.5048197151041	0.1943530013997734	5.206194702351243	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K89391146	RG-108	13.0	-0.20460470771943773	0.046997037295913535	-4.3535660861164205	6.697034665068799e-06	1.3394069330137598e-05	452.75060409055175	0.20460470771943773	5.174117453070819	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K78513633	lonidamine	13.0	-0.25476257133438096	0.058970326380579315	-4.320182487887363	7.795011158616124e-06	1.5590022317232248e-05	287.5629545439172	0.25476257133438096	5.108183258778932	Launched	glucokinase inhibitor	GCK	not annotated		Broad Repurposing Hub	
BRD-K10882151	BO2-inhibits-RAD51	13.0	-0.18795489302429708	0.04418042320133807	-4.254257415501728	1.048719525459642e-05	2.097439050919284e-05	512.3187572223756	0.18795489302429708	4.9793406460602725	not annotated	not annotated	not annotated	not annotated		not annotated	
